timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729273792229,99,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-45",text,true,,1105,1315,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,99,0,55
1729273792028,99,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-45",,true,,1105,1315,1,1,null,99,213,55
1729273792752,91,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-46",text,true,,1105,1315,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,91,0,4
1729273792551,91,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-46",,true,,1105,1315,1,1,null,91,206,4
1729273793269,69,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-47",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,69,0,6
1729273793068,69,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-47",,true,,1105,1322,1,1,null,69,205,6
1729273793786,126,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-48",text,true,,1105,1320,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,126,0,34
1729273793585,126,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-48",,true,,1105,1320,1,1,null,126,205,34
1729273794304,85,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-49",text,true,,1105,1321,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,85,0,27
1729273794102,85,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-49",,true,,1105,1321,1,1,null,85,207,27
1729273794822,107,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-50",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,107,0,24
1729273794620,107,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-50",,true,,1105,1322,1,1,null,107,209,24
1729273795336,76,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-51",text,true,,1105,1323,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,76,0,19
1729273795135,76,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-51",,true,,1105,1323,1,1,null,76,207,19
1729273795854,99,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-52",text,true,,1105,1315,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,99,0,14
1729273795652,99,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-52",,true,,1105,1315,1,1,null,99,214,14
1729273796373,518,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-53",text,true,,1105,1315,2,2,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,518,0,211
1729273796172,518,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-53",,true,,1105,1315,2,2,null,518,210,211
1729273796893,76,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-54",text,true,,1105,1315,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,76,0,9
1729273796690,76,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-54",,true,,1105,1315,1,1,null,76,211,9
1729273797410,159,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-55",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,159,0,96
1729273797209,159,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-55",,true,,1105,1319,1,1,null,159,208,96
1729273797928,145,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-56",text,true,,1105,1322,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,145,0,93
1729273797726,145,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-56",,true,,1105,1322,1,1,null,145,207,93
1729273798446,155,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-57",text,true,,1105,1315,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,155,0,84
1729273798243,155,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-57",,true,,1105,1315,1,1,null,155,210,84
1729273798963,170,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-58",text,true,,1105,1315,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,170,0,74
1729273798762,170,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-58",,true,,1105,1315,1,1,null,170,206,74
1729273799484,201,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-59",text,true,,1105,1317,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,201,0,5
1729273799283,201,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-59",,true,,1105,1317,1,1,null,201,210,5
1729273800002,72,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-60",text,true,,1105,1317,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,72,0,6
1729273799801,72,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-60",,true,,1105,1317,1,1,null,72,209,6
1729273800525,141,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-61",text,true,,1105,1317,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,141,0,56
1729273800322,141,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-61",,true,,1105,1317,1,1,null,141,210,56
1729273801043,73,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-62",text,true,,1105,1317,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,73,0,6
